trader_id,strategy,instrument,action,position_size,entry_price,pnl,is_win,holding_hours,risk_reward_ratio,fees,timestamp,emotional_state,net_pnl,is_profitable
trader_000,mean_reversion,MSFT,SELL,3950.16,179.9853122160563,-84.82,False,42.82,2.54,0.34,2025-08-25 08:24:33.621157,avide,-85.16,False
trader_000,mean_reversion,MSFT,BUY,4991.27,860.1159132689914,-94.38,False,16.21,3.39,0.15,2025-08-25 13:11:23.145310,avide,-94.53,False
trader_000,mean_reversion,MSFT,SELL,4063.88,805.1517255149256,125.85,True,12.47,3.05,0.35,2025-08-25 11:41:10.306865,avide,125.5,True
trader_000,mean_reversion,AMZN,SELL,6016.95,1571.1903103881107,-114.42,False,40.95,1.66,0.12,2025-08-25 12:56:23.938699,calme,-114.54,False
trader_000,mean_reversion,BTC-USD,SELL,5266.13,727.3127423484985,-74.86,False,27.84,2.48,0.11,2025-08-25 08:47:25.356567,avide,-74.97,False
trader_000,mean_reversion,GOOGL,BUY,7607.85,1116.890019894738,-59.83,False,27.82,2.65,0.09,2025-08-25 10:27:09.036451,peureux,-59.92,False
trader_000,mean_reversion,BTC-USD,SELL,6152.28,1217.4727450646794,115.48,True,37.63,2.45,0.56,2025-08-25 10:52:00.539302,peureux,114.92,True
trader_000,mean_reversion,AAPL,BUY,4422.25,1198.3057235859276,-51.16,False,32.29,1.24,0.19,2025-08-25 08:08:30.413925,nerveux,-51.349999999999994,False
trader_000,swing_trading,META,BUY,7716.43,1899.5172556968355,251.74,True,150.57,1.41,0.31,2025-08-25 11:40:13.242786,nerveux,251.43,True
trader_000,swing_trading,NVDA,SELL,5530.83,182.40999158975663,495.95,True,147.71,2.78,1.72,2025-08-25 11:39:27.469517,calme,494.22999999999996,True
trader_000,mean_reversion,TSLA,SELL,8090.09,786.1511927711094,-39.23,False,36.3,1.8,0.15,2025-08-26 09:44:28.654677,peureux,-39.379999999999995,False
trader_000,mean_reversion,MSFT,BUY,6758.19,973.0302377230888,30.18,True,30.98,2.38,0.13,2025-08-26 09:14:35.506591,confiant,30.05,True
trader_000,mean_reversion,AMZN,BUY,5824.32,641.3712548754414,-74.43,False,16.62,1.3,0.08,2025-08-26 13:25:36.200302,avide,-74.51,False
trader_000,mean_reversion,META,SELL,3782.31,835.734992305591,-118.62,False,6.67,2.17,0.16,2025-08-26 11:13:58.914768,avide,-118.78,False
trader_000,mean_reversion,EUR/USD,BUY,3848.47,655.4003031246531,36.76,True,3.67,2.16,0.14,2025-08-26 14:11:20.141064,nerveux,36.62,True
trader_000,swing_trading,MSFT,BUY,5420.41,1400.2938501969536,-307.61,False,119.83,1.63,0.74,2025-08-26 10:24:20.897014,confiant,-308.35,False
trader_000,swing_trading,MSFT,SELL,5077.48,1821.1261476837408,220.59,True,142.31,1.38,0.27,2025-08-26 10:35:51.379782,nerveux,220.32,True
trader_000,swing_trading,MSFT,BUY,5407.27,1032.3730953711843,429.84,True,125.76,2.04,1.12,2025-08-26 08:14:19.453245,confiant,428.71999999999997,True
trader_000,mean_reversion,TSLA,BUY,4224.24,1499.7311600015855,-69.87,False,31.38,1.84,0.21,2025-08-27 14:36:45.173646,calme,-70.08,False
trader_000,mean_reversion,ETH-USD,SELL,7316.55,1546.1118084023337,-92.65,False,5.82,3.37,0.3,2025-08-27 11:08:27.128828,avide,-92.95,False
trader_000,mean_reversion,MSFT,SELL,5479.24,680.779179410068,147.14,True,41.97,1.7,0.62,2025-08-27 13:09:45.213069,nerveux,146.51999999999998,True
trader_000,mean_reversion,META,SELL,2939.2,261.7813727197409,-49.46,False,3.46,2.75,0.17,2025-08-27 14:09:11.450360,peureux,-49.63,False
trader_000,mean_reversion,NVDA,BUY,4258.6,1893.9088495935785,75.55,True,21.41,3.44,0.22,2025-08-27 07:51:36.026992,calme,75.33,True
trader_000,swing_trading,TSLA,SELL,4883.85,1074.2340955272998,-119.15,False,137.25,2.05,0.39,2025-08-27 13:24:28.720687,peureux,-119.54,False
trader_000,mean_reversion,BTC-USD,SELL,4800.58,1336.9017146947613,81.53,True,36.19,1.98,0.14,2025-08-28 13:32:29.586317,peureux,81.39,True
trader_000,mean_reversion,EUR/USD,SELL,5647.54,512.6146046468682,-97.15,False,34.01,2.64,0.39,2025-08-28 11:49:16.927589,calme,-97.54,False
trader_000,swing_trading,EUR/USD,BUY,7447.44,723.2550110517029,-349.99,False,80.2,2.56,1.02,2025-08-28 11:14:38.282258,avide,-351.01,False
trader_000,swing_trading,AMZN,SELL,3100.66,969.4209299473957,411.41,True,146.45,3.06,1.34,2025-08-28 11:19:11.399687,confiant,410.07000000000005,True
trader_000,swing_trading,BTC-USD,BUY,7897.14,1512.2898158702903,-250.2,False,160.42,3.37,0.32,2025-08-28 09:37:37.905640,nerveux,-250.51999999999998,False
trader_000,mean_reversion,GOOGL,SELL,7297.04,106.57918685903182,70.04,True,27.25,2.46,0.08,2025-08-29 10:02:33.810627,peureux,69.96000000000001,True
trader_000,mean_reversion,EUR/USD,SELL,4056.07,1476.062069197344,124.88,True,11.23,2.17,0.48,2025-08-29 12:43:35.993020,peureux,124.39999999999999,True
trader_000,mean_reversion,TSLA,SELL,3017.02,278.1642436801444,95.03,True,47.81,1.73,0.36,2025-08-29 09:01:13.445266,avide,94.67,True
trader_000,swing_trading,EUR/USD,BUY,4708.7,1261.5801392132792,331.76,True,121.9,2.07,1.06,2025-08-29 11:10:52.629892,nerveux,330.7,True
trader_000,mean_reversion,EUR/USD,SELL,3713.77,149.82951376581963,45.79,True,15.71,1.27,0.22,2025-08-30 12:42:12.186210,peureux,45.57,True
trader_000,mean_reversion,AAPL,BUY,4324.74,386.18157962997805,-114.03,False,11.23,1.22,0.5,2025-08-30 08:16:57.179490,avide,-114.53,False
trader_000,mean_reversion,AAPL,SELL,7551.73,799.1361564764644,-65.46,False,39.95,2.21,0.19,2025-08-30 09:50:57.809180,calme,-65.64999999999999,False
trader_000,swing_trading,EUR/USD,SELL,5114.72,351.5848864949361,347.82,True,56.64,2.21,1.19,2025-08-30 12:05:54.332441,confiant,346.63,True
trader_000,mean_reversion,MSFT,SELL,5744.12,1206.4976483398611,149.87,True,26.17,1.87,0.25,2025-08-31 14:25:21.840717,confiant,149.62,True
trader_000,mean_reversion,META,BUY,3553.51,807.5219765458899,102.06,True,9.41,1.78,0.41,2025-08-31 14:29:43.399572,confiant,101.65,True
trader_000,mean_reversion,MSFT,BUY,7391.2,463.34421732093523,-58.96,False,7.92,1.98,0.26,2025-08-31 12:10:01.161477,nerveux,-59.22,False
trader_000,mean_reversion,NVDA,BUY,7692.09,1428.4298343007777,97.17,True,34.78,2.81,0.17,2025-08-31 11:23:37.002201,peureux,97.0,True
trader_000,mean_reversion,EUR/USD,BUY,5252.92,1179.3201540806413,111.65,True,26.84,1.53,0.38,2025-08-31 11:35:05.348060,avide,111.27000000000001,True
trader_000,swing_trading,TSLA,BUY,3262.07,486.51682701656046,247.79,True,153.93,1.71,0.96,2025-08-31 12:00:14.670419,confiant,246.82999999999998,True
trader_000,swing_trading,ETH-USD,SELL,4952.85,1048.5131122918851,399.74,True,40.05,2.23,0.54,2025-08-31 12:46:26.421169,confiant,399.2,True
trader_000,swing_trading,BTC-USD,SELL,3541.25,1398.0463832176956,360.48,True,70.44,1.58,0.55,2025-08-31 11:31:22.505663,nerveux,359.93,True
trader_000,mean_reversion,MSFT,BUY,7829.07,992.0468705999232,-86.11,False,17.95,2.86,0.33,2025-09-01 13:51:56.107058,avide,-86.44,False
trader_000,mean_reversion,GOOGL,SELL,2906.94,1025.0249929857957,-110.22,False,13.43,2.76,0.2,2025-09-01 11:39:11.998089,calme,-110.42,False
trader_000,mean_reversion,META,BUY,6933.92,1702.1034259472592,-95.09,False,3.17,1.92,0.13,2025-09-01 09:48:01.751041,avide,-95.22,False
trader_000,mean_reversion,TSLA,SELL,7288.58,1587.4102382880967,-91.16,False,15.8,2.69,0.44,2025-09-01 11:15:06.107701,avide,-91.6,False
trader_000,mean_reversion,ETH-USD,BUY,4355.17,1336.3843283982026,30.13,True,35.71,1.47,0.03,2025-09-01 12:08:27.416685,nerveux,30.099999999999998,True
trader_000,swing_trading,NVDA,BUY,5847.09,1109.262925343379,-222.72,False,28.09,2.04,0.25,2025-09-01 08:27:48.830824,nerveux,-222.97,False
trader_000,swing_trading,MSFT,BUY,6617.92,1083.9638805678412,-114.16,False,38.47,2.17,0.44,2025-09-01 09:16:31.078257,calme,-114.6,False
trader_000,swing_trading,TSLA,SELL,5086.77,261.2473990586393,-295.4,False,116.53,2.16,0.93,2025-09-01 10:57:35.900204,calme,-296.33,False
trader_000,mean_reversion,META,BUY,4570.64,75.83518976435016,-44.99,False,36.04,1.93,0.11,2025-09-02 08:35:36.509593,peureux,-45.1,False
trader_000,mean_reversion,NVDA,SELL,4538.99,281.6439320603277,67.39,True,18.02,2.92,0.15,2025-09-02 14:31:56.483026,calme,67.24,True
trader_000,mean_reversion,META,BUY,4544.13,1315.0079407843784,141.03,True,29.98,2.35,0.64,2025-09-02 09:39:17.821031,calme,140.39000000000001,True
trader_000,mean_reversion,TSLA,BUY,8092.66,299.5435408876917,60.11,True,47.25,3.45,0.11,2025-09-02 14:26:08.752263,calme,60.0,True
trader_000,mean_reversion,TSLA,SELL,4621.57,1454.6454130246416,-89.3,False,36.59,3.14,0.11,2025-09-02 09:13:13.671082,confiant,-89.41,False
trader_000,swing_trading,MSFT,SELL,7626.96,250.53497943590108,-318.37,False,43.09,1.88,0.4,2025-09-02 09:23:43.064010,nerveux,-318.77,False
trader_000,swing_trading,GOOGL,BUY,4069.37,1761.2955584616852,-164.04,False,46.68,1.94,0.57,2025-09-02 12:09:20.724657,calme,-164.60999999999999,False
trader_000,mean_reversion,TSLA,BUY,3145.59,1802.8181847062438,-110.51,False,9.37,3.34,0.48,2025-09-03 13:28:56.954987,peureux,-110.99000000000001,False
trader_000,mean_reversion,META,SELL,4269.34,884.7918957988044,114.54,True,28.07,2.42,0.42,2025-09-03 14:22:01.347861,peureux,114.12,True
trader_000,mean_reversion,GOOGL,SELL,7118.55,321.0901949588487,116.16,True,42.74,2.41,0.21,2025-09-03 11:56:53.830399,peureux,115.95,True
trader_000,mean_reversion,TSLA,SELL,3548.61,954.5411927090813,-74.13,False,35.93,1.96,0.24,2025-09-03 12:51:42.524909,confiant,-74.36999999999999,False
